datetime,price
2021-03-17 07:15:00,128.0
2021-03-17 07:35:00,128.0
2021-03-17 08:00:00,127.94
2021-03-17 08:05:00,128.05
2021-03-17 08:10:00,128.06
2021-03-17 08:15:00,128.06
2021-03-17 08:30:00,128.22
2021-03-17 08:35:00,127.57
2021-03-17 08:45:00,128.0
2021-03-17 09:00:00,128.1
2021-03-17 09:05:00,128.11
2021-03-17 09:20:00,128.31
2021-03-17 09:25:00,127.91
2021-03-17 09:30:00,128.8
2021-03-17 09:35:00,128.461
2021-03-17 09:40:00,128.6989
2021-03-17 09:45:00,129.262
2021-03-17 09:50:00,128.82
2021-03-17 09:55:00,128.11
2021-03-17 10:00:00,127.89
2021-03-17 10:05:00,127.664
2021-03-17 10:10:00,128.04
2021-03-17 10:15:00,127.8
2021-03-17 10:20:00,128.0
2021-03-17 10:25:00,128.07
2021-03-17 10:30:00,128.59
2021-03-17 10:35:00,128.353
2021-03-17 10:40:00,128.17
2021-03-17 10:45:00,128.075
2021-03-17 10:50:00,128.13
2021-03-17 10:55:00,128.1344
2021-03-17 11:00:00,127.99
2021-03-17 11:05:00,128.14
2021-03-17 11:10:00,128.38
2021-03-17 11:15:00,128.3699
2021-03-17 11:20:00,128.32
2021-03-17 11:25:00,128.54
2021-03-17 11:30:00,128.6
2021-03-17 11:35:00,128.46
2021-03-17 11:40:00,128.42
2021-03-17 11:45:00,128.58
2021-03-17 11:50:00,128.755
2021-03-17 11:55:00,128.77
2021-03-17 12:00:00,128.69
2021-03-17 12:05:00,128.71
2021-03-17 12:10:00,128.72
2021-03-17 12:15:00,128.66
2021-03-17 12:20:00,128.65
2021-03-17 12:25:00,128.5022
2021-03-17 12:30:00,128.58
2021-03-17 12:35:00,128.63
2021-03-17 12:40:00,128.56
2021-03-17 12:45:00,128.4822
2021-03-17 12:50:00,128.53
2021-03-17 12:55:00,128.54
2021-03-17 13:00:00,128.57
2021-03-17 13:05:00,128.5
2021-03-17 13:10:00,128.38
2021-03-17 13:15:00,128.46
2021-03-17 13:20:00,128.46
2021-03-17 13:25:00,128.44
2021-03-17 13:30:00,128.46
2021-03-17 13:35:00,128.54
2021-03-17 13:40:00,128.55
2021-03-17 13:45:00,128.7
2021-03-17 13:50:00,128.61
2021-03-17 13:55:00,128.5045
2021-03-17 14:00:00,128.61
2021-03-17 14:05:00,129.045
2021-03-17 14:10:00,128.99
2021-03-17 14:15:00,128.96
2021-03-17 14:20:00,128.85
2021-03-17 14:25:00,128.9
2021-03-17 14:30:00,128.81
2021-03-17 14:35:00,128.72
2021-03-17 14:40:00,128.95
2021-03-17 14:45:00,128.91
2021-03-17 14:50:00,128.81
2021-03-17 14:55:00,128.875
2021-03-17 15:00:00,128.66
2021-03-17 15:05:00,128.6355
2021-03-17 15:10:00,128.6
2021-03-17 15:15:00,128.51
2021-03-17 15:20:00,128.43
2021-03-17 15:25:00,128.49
2021-03-17 15:30:00,128.46
2021-03-17 15:35:00,128.64
2021-03-17 15:40:00,128.7448
2021-03-17 15:45:00,128.59
2021-03-17 15:50:00,128.7
2021-03-17 15:55:00,128.845
2021-03-17 16:00:00,129.03
2021-03-17 16:05:00,129.03
2021-03-17 16:35:00,128.51
2021-03-17 16:50:00,129.03
2021-03-17 17:15:00,129.05
2021-03-17 17:25:00,128.53
2021-03-17 19:20:00,129.1
2021-03-17 19:35:00,129.0
2021-03-17 19:50:00,129.05
2021-03-17 19:55:00,129.1
2021-03-17 20:00:00,129.1
2021-03-18 04:55:00,127.11
2021-03-18 06:35:00,129.0
2021-03-18 08:05:00,129.0
2021-03-18 08:40:00,128.68
2021-03-18 08:55:00,129.0
2021-03-18 09:10:00,128.5501
2021-03-18 09:25:00,128.72
2021-03-18 09:30:00,129.06
2021-03-18 09:35:00,129.64
