time,open,high,low,close,volume
2021-04-07 11:00:00,134.56,134.69,134.54,134.5802,65789
2021-04-07 10:45:00,134.62,134.7105,134.53,134.53,60102
2021-04-07 10:30:00,134.48,134.7403,134.47,134.6,68664
2021-04-07 10:15:00,134.47,134.7799,134.4,134.52,96347
2021-04-07 10:00:00,134.35,134.68,134.18,134.48,109902
2021-04-07 09:45:00,133.84,134.75,133.78,134.325,449456
2021-04-07 09:30:00,133.72,133.72,133.46,133.46,7716
2021-04-07 09:15:00,134.05,134.05,133.81,133.84,2894
2021-04-07 09:00:00,134.11,134.11,134.05,134.06,1431
2021-04-07 08:45:00,134.3,134.3,134.0,134.05,5168
2021-04-07 08:30:00,134.38,134.41,134.38,134.41,436
2021-04-07 08:15:00,134.46,134.48,134.45,134.48,1619
2021-04-07 08:00:00,134.68,134.68,134.68,134.68,250
2021-04-06 20:00:00,134.41,134.41,134.41,134.41,185
2021-04-06 19:30:00,134.59,134.59,134.4,134.4,623
2021-04-06 18:45:00,134.5,134.5,134.5,134.5,1393
2021-04-06 17:00:00,134.5,134.5,134.5,134.5,207
2021-04-06 16:45:00,134.39,134.49,134.39,134.49,593
2021-04-06 16:15:00,134.22,134.52,134.11,134.11,75083
2021-04-06 16:00:00,134.11,134.24,134.09,134.23,315942
2021-04-06 15:45:00,134.325,134.36,134.09,134.1,152998
2021-04-06 15:30:00,134.2779,134.35,134.245,134.33,121119
2021-04-06 15:15:00,134.19,134.31,134.16,134.28,126784
2021-04-06 15:00:00,134.26,134.37,134.17,134.1932,98914
2021-04-06 14:45:00,134.27,134.315,134.14,134.28,98168
2021-04-06 14:30:00,134.4575,134.46,134.27,134.28,74693
2021-04-06 14:15:00,134.39,134.5099,134.29,134.46,87777
2021-04-06 14:00:00,134.2,134.48,134.17,134.4034,147262
2021-04-06 13:45:00,134.245,134.26,134.15,134.185,93263
2021-04-06 13:30:00,134.37,134.4219,134.18,134.245,157097
2021-04-06 13:15:00,134.56,134.6,134.36,134.36,64169
2021-04-06 13:00:00,134.5844,134.61,134.49,134.55,53443
2021-04-06 12:45:00,134.8252,134.83,134.56,134.5803,63472
2021-04-06 12:30:00,134.68,134.86,134.68,134.8175,57628
2021-04-06 12:15:00,134.71,134.8,134.55,134.64,92830
2021-04-06 12:00:00,134.64,134.75,134.57,134.71,85876
2021-04-06 11:45:00,134.7736,134.83,134.64,134.64,76756
2021-04-06 11:30:00,134.495,134.77,134.45,134.77,116542
2021-04-06 11:15:00,134.66,134.71,134.5,134.5001,98735
2021-04-06 11:00:00,134.5,134.79,134.37,134.6738,185283
2021-04-06 10:45:00,134.65,134.74,134.43,134.49,118381
2021-04-06 10:30:00,134.905,134.949,134.65,134.65,101997
2021-04-06 10:15:00,134.77,135.0599,134.73,134.88,98230
2021-04-06 10:00:00,134.73,134.98,134.6357,134.7792,134712
2021-04-06 09:45:00,135.58,135.64,134.59,134.73,342983
2021-04-06 09:30:00,135.54,135.56,135.26,135.28,2315
2021-04-06 09:00:00,135.66,135.66,135.66,135.66,319
2021-04-06 08:45:00,135.65,135.65,135.4907,135.4907,1696
2021-04-06 08:30:00,135.54,135.54,135.54,135.54,1419
2021-04-06 08:15:00,135.6799,135.6799,135.6799,135.6799,300
2021-04-06 07:30:00,135.41,135.6,135.41,135.6,398
2021-04-06 07:15:00,135.74,135.9,135.65,135.65,1762
2021-04-06 04:15:00,133.71,133.71,133.71,133.71,200
2021-04-05 19:00:00,136.02,136.02,136.02,136.02,100
2021-04-05 18:45:00,136.05,136.05,136.05,136.05,110
2021-04-05 16:30:00,135.96,135.96,135.96,135.96,200
